onset	duration	trial_type	participant	date	neg_pics	img_start	rating_start	rating	rating_rt	pt_code	baseline	cueing	cubricID
371.48561017249	1	Uncued	K1249U	2021_Oct_28_2113	3068	371.48561017249	376.487253481025	5	1.26728909400845	PT12	5	Uncued	28102021302
387.524349375093	1	Cued	K1249U	2021_Oct_28_2113	6242	387.524349375093	392.525965314158	4	0.560772765553338	PT12	3	Cued	28102021302
403.554663913013	1	Uncued	K1249U	2021_Oct_28_2113	9320	403.554663913013	408.547989753955	4	0.560520738361447	PT12	1	Uncued	28102021302
418.609701634413	1	Cued	K1249U	2021_Oct_28_2113	3261	418.609701634413	423.611369746531	5	0.55104320441751	PT12	5	Cued	28102021302
442.142615131497	1	Uncued	K1249U	2021_Oct_28_2113	9630	442.142615131497	447.144230785465	1	0.615737501702824	PT12	5	Uncued	28102021302
458.172948200828	1	Uncued	K1249U	2021_Oct_28_2113	9041	458.172948200828	463.174700131943	5	1.19603125593312	PT12	4	Uncued	28102021302
473.21966731424	1	Cued	K1249U	2021_Oct_28_2113	6021	473.21966731424	478.212998286957	5	0.621496494142775	PT12	4	Cued	28102021302
498.778244250103	1	Cued	K1249U	2021_Oct_28_2113	9050	498.778244250103	503.779917779093	1	1.01421131168718	PT12	3	Cued	28102021302
513.808276825473	1	Uncued	K1249U	2021_Oct_28_2113	6315	513.808276825473	518.809962898803	1	1.03094603139834	PT12	4	Uncued	28102021302
529.855327508597	1	Cued	K1249U	2021_Oct_28_2113	9425	529.855327508597	534.857024700775	5	0.618630967755962	PT12	4	Cued	28102021302
543.92674870819	1	Uncued	K1249U	2021_Oct_28_2113	9921	543.92674870819	548.928414254418	1	2.02501084800315	PT12	4	Uncued	28102021302
558.965106448817	1	Uncued	K1249U	2021_Oct_28_2113	2799	558.965106448817	563.966790811557	1	0.337393993200749	PT12	NA	Uncued	28102021302
582.489676249231	1	Cued	K1249U	2021_Oct_28_2113	2800	582.489676249231	587.483024898063	1	0.478854519298693	PT12	4	Cued	28102021302
